18780501T12:00:00:00.999Z,13.05
18780601T12:00:00:00.999Z,16.1
18780701T12:00:00:00.999Z,17.4
18780801T12:00:00:00.999Z,17.4
18780901T12:00:00:00.999Z,13.75
18781001T12:00:00:00.999Z,10.75
18781101T12:00:00:00.999Z,4.6
18781201T12:00:00:00.999Z,2.55
18790101T12:00:00:00.999Z,2.2
18790201T12:00:00:00.999Z,3.55
18790301T12:00:00:00.999Z,4.85
18790401T12:00:00:00.999Z,5.95
18790501T12:00:00:00.999Z,9.05
18790601T12:00:00:00.999Z,13.6
18790701T12:00:00:00.999Z,14.45
18790801T12:00:00:00.999Z,15.25
18790901T12:00:00:00.999Z,13.05
18791001T12:00:00:00.999Z,9.1
18791101T12:00:00:00.999Z,3.8
18791201T12:00:00:00.999Z,3.45
18800101T12:00:00:00.999Z,2.75
18800201T12:00:00:00.999Z,5.7
18800301T12:00:00:00.999Z,7.1
18800401T12:00:00:00.999Z,8.45
18800501T12:00:00:00.999Z,11.15
18800601T12:00:00:00.999Z,13.95
18800701T12:00:00:00.999Z,15.95
18800801T12:00:00:00.999Z,16.85
18800901T12:00:00:00.999Z,15.65
18801001T12:00:00:00.999Z,8.55
18801101T12:00:00:00.999Z,6.45
18801201T12:00:00:00.999Z,6.45
18810101T12:00:00:00.999Z,2.9
18810201T12:00:00:00.999Z,3.9
18810301T12:00:00:00.999Z,6.2
18810401T12:00:00:00.999Z,8
18810501T12:00:00:00.999Z,12.3
18810601T12:00:00:00.999Z,14.75
18810701T12:00:00:00.999Z,17.6
18810801T12:00:00:00.999Z,15
18810901T12:00:00:00.999Z,13.55
18811001T12:00:00:00.999Z,8.05
18811101T12:00:00:00.999Z,9.7
18811201T12:00:00:00.999Z,4.6
18820101T12:00:00:00.999Z,5.25
18820201T12:00:00:00.999Z,6.35
18820301T12:00:00:00.999Z,8.3
18820401T12:00:00:00.999Z,9.4
18820501T12:00:00:00.999Z,12.35
18820601T12:00:00:00.999Z,13.6
18820701T12:00:00:00.999Z,15.95
18820801T12:00:00:00.999Z,15.7
18820901T12:00:00:00.999Z,12.8
18821001T12:00:00:00.999Z,10.4
18821101T12:00:00:00.999Z,6.55
18821201T12:00:00:00.999Z,4.85
18830101T12:00:00:00.999Z,5.75
18830201T12:00:00:00.999Z,6.95
18830301T12:00:00:00.999Z,4.2
18830401T12:00:00:00.999Z,9.25
18830501T12:00:00:00.999Z,11.65
18830601T12:00:00:00.999Z,14.85
18830701T12:00:00:00.999Z,15
18830801T12:00:00:00.999Z,16.4
18830901T12:00:00:00.999Z,13.95
18831001T12:00:00:00.999Z,10.6
18831101T12:00:00:00.999Z,6.8
18831201T12:00:00:00.999Z,5
18840101T12:00:00:00.999Z,7.3
18840201T12:00:00:00.999Z,6
18840301T12:00:00:00.999Z,6.95
18840401T12:00:00:00.999Z,7.4
18840501T12:00:00:00.999Z,12.1
18840601T12:00:00:00.999Z,14.7
18840701T12:00:00:00.999Z,16.95
