19190801,17.2
19190901,13.35
19191001,7.2
19191101,3.55
19191201,5.9
19200101,5.7
19200201,6.3
19200301,7.9
19200401,8.95
19200501,12.45
19200601,14.85
19200701,14.6
19200801,13.85
19200901,13.7
19201001,10.55
19201101,6.6
19201201,4.5
19210101,7.55
19210201,5
19210301,7.95
19210401,9.05
19210501,12.2
19210601,15.45
19210701,19.7
19210801,16.5
19210901,14.95
19211001,13.55
19211101,4.85
19211201,6.5
19220101,4.2
19220201,4.85
19220301,5.15
19220401,6.15
19220501,14
19220601,14.6
19220701,14.45
19220801,14.1
19220901,12.85
19221001,8.45
19221101,5.65
19221201,6.15
19230101,5.3
19230201,6.25
19230301,6.7
19230401,8.25
19230501,10.35
19230601,13.05
19230701,18.45
19230801,16.25
19230901,13.25
19231001,10.35
19231101,3.4
19231201,4.2
19240101,5.35
19240201,3.35
19240301,4.9
19240401,8.1
19240501,12.45
19240601,14.75
19240701,15.8
19240801,14.65
19240901,13.95
19241001,10.7
19241101,7.45
19241201,6.7
19250101,5.35
19250201,5.75
19250301,5.2
19250401,7.9
19250501,12.3
19250601,15.7
19250701,17.4
19250801,16.05
19250901,12.05
19251001,11.05
19251101,4.55
19251201,3.2
19260101,4.5
19260201,7.45
19260301,6.95
19260401,9.65
19260501,10.85
19260601,14.1
19260701,17.25
19260801,16.85
19260901,15.3
19261001,8.55
19261101,6.8
19261201,4.1
19270101,4.8
19270201,4.15
19270301,7.95
19270401,8.8
19270501,12.25
19270601,13.35
19270701,16.1
19270801,16.15
19270901,13
19271001,10.9
19271101,6.5
19271201,2.15
19280101,5.6
19280201,6.25
19280301,7
19280401,8.75
19280501,11.45
19280601,13.85
19280701,17.85
19280801,15.95
19280901,13.55
19281001,10.8
19281101,8.05
19281201,3.5
19290101,2.4
19290201,3.15
19290301,6.5
19290401,7.15
19290501,11.75
19290601,13.9
19290701,16.95
19290801,16.4
19290901,16.95
19291001,10.2
19291101,7.15
19291201,6.3
19300101,6.2
19300201,2.85
19300301,5.8
19300401,8.75
19300501,11.3
19300601,15.95
19300701,15.9
19300801,16.6
19300901,14.25
19301001,11.05
19301101,6.5
19301201,4.45
19310101,3.65
19310201,4.35
19310301,4.75
19310401,8.25
19310501,11.95
19310601,15.25
19310701,15.85
19310801,15.15
19310901,12
19311001,9.3
19311101,8.05
19311201,5.3
19320101,6.45
19320201,3.1
19320301,5
19320401,7.55
19320501,11.15
19320601,14.35
19320701,16.65
19320801,18.25
19320901,13.7
19321001,9.5
19321101,6.8
19321201,5.85
19330101,3
19330201,4.65
19330301,8.1
19330401,9.45
19330501,12.9
19330601,16
19330701,18.75
19330801,18.65
19330901,15.65
19331001,10.35
19331101,5.8
19331201,2.1
19340101,4.05
19340201,4
19340301,5.45
19340401,8.6
19340501,12.25
19340601,15.85
19340701,19.1
19340801,16.25
19340901,15.45
19341001,11.05
19341101,6.6
19341201,8.2
19350101,4.9
